"Date","count","covid_case","covid_trend"
2009-01-01,700,0,0
2009-01-02,2034,0,0
2009-01-03,1093,0,0
2009-01-04,1090,0,0
2009-01-05,2379,0,0
2009-01-06,2354,0,0
2009-01-07,2340,0,0
2009-01-08,2309,0,0
2009-01-09,2387,0,0
2009-01-10,1224,0,0
2009-01-11,956,0,0
2009-01-12,2284,0,0
2009-01-13,2266,0,0
2009-01-14,2325,0,0
2009-01-15,2256,0,0
2009-01-16,2087,0,0
2009-01-17,1231,0,0
2009-01-18,1094,0,0
2009-01-19,2425,0,0
2009-01-20,2304,0,0
2009-01-21,2287,0,0
2009-01-22,2217,0,0
2009-01-23,2174,0,0
2009-01-24,1118,0,0
2009-01-25,1038,0,0
2009-01-26,825,0,0
2009-01-27,918,0,0
2009-01-28,2338,0,0
2009-01-29,2409,0,0
2009-01-30,2436,0,0
2009-01-31,1314,0,0
2009-02-01,1032,0,0
2009-02-02,2425,0,0
2009-02-03,2455,0,0
2009-02-04,2419,0,0
2009-02-05,2306,0,0
2009-02-06,2409,0,0
2009-02-07,1276,0,0
2009-02-08,1006,0,0
2009-02-09,2407,0,0
2009-02-10,2387,0,0
2009-02-11,2327,0,0
2009-02-12,2442,0,0
2009-02-13,2124,0,0
2009-02-14,1201,0,0
2009-02-15,1028,0,0
2009-02-16,2372,0,0
2009-02-17,2224,0,0
2009-02-18,2133,0,0
2009-02-19,1878,0,0
2009-02-20,1774,0,0
2009-02-21,790,0,0
2009-02-22,947,0,0
2009-02-23,1828,0,0
2009-02-24,1740,0,0
2009-02-25,1725,0,0
2009-02-26,1687,0,0
2009-02-27,1774,0,0
2009-02-28,1055,0,0
2009-03-01,1133,0,0
2009-03-02,2440,0,0
2009-03-03,2358,0,0
2009-03-04,2576,0,0
2009-03-05,2419,0,0
2009-03-06,2521,0,0
2009-03-07,1413,0,0
2009-03-08,1154,0,0
2009-03-09,2615,0,0
2009-03-10,2493,0,0
2009-03-11,2577,0,0
2009-03-12,2632,0,0
2009-03-13,2492,0,0
2009-03-14,1293,0,0
2009-03-15,1178,0,0
2009-03-16,2541,0,0
2009-03-17,2502,0,0
2009-03-18,2517,0,0
2009-03-19,2357,0,0
2009-03-20,2562,0,0
2009-03-21,1456,0,0
2009-03-22,1098,0,0
2009-03-23,2588,0,0
2009-03-24,2245,0,0
2009-03-25,2521,0,0
2009-03-26,2366,0,0
2009-03-27,2390,0,0
2009-03-28,1285,0,0
2009-03-29,1178,0,0
2009-03-30,2503,0,0
2009-03-31,2517,0,0
